VALT,WPW,SIFT,YOCR,SUG,PRLK,HIYU,GPW,RNO,SWF2,STOR,BRSP,VLL,B201,RPW,BERY,SEP,VOIT,LNO,RVC,PINE,KWBU,FRIS,OT3,HOOD,DFAZ,TWW,F05D,GHW,BVW,WIFE,IRO,JUN,SHW,TOLT,IZEE,BURN,ETW,MINN,TMBU,HUO,VTH,LON,SHRK,NEL,LCW,TDH,MDW,FMW,RUSH,LO2,B204,CIHL,RCM,NN32,LKVW,MTM,GBL,B941,BKC,CHMT,NNVM,ELK,UMAT,G05D,KEB,PALM,CPCO,OBC,OZB,PIE,EPH,BHAM,NN17,EPH2,LSON,RSW,B203,PANH,RATT,MULN,MBW,WA2,JRO,TDL,HTW,RED,STAR,HOA,JCW,TIMB,WISH,RPW2,BEER,ASR,RER,CAVE,B020,NOB,B926,FL2,YEL,DAVN,TRW,WIW,OSD,DONK,RAFT,NCO,SWFL,SHUK,B202,SEND,ASBU,PARA,RCS,NN19,VFP,MOON,PR05,SNB,HSR,C06D,SWNB,REM,BLIS,OPCH,TCBU,MIDE,RVW,LVP,MJ2,GLK,SAXON,WRW,HUSB,FHE,KENT,H2E,WESG,BLOW,GBB,KOS,SVIC,OBSR,SNI,TBM,CLCV,BRAN,SOS,GRUT,NED,NN21,GSM,VDEB,VBE,TOPL,NORM,SPN5,LOC,EDM,CMM,STD,MEW,TREE,HDW,CARB,CDF,CRBN,WRD,NATH,OOW2,GUL,BRKS,YACT,CTR,NAC,PR04,WPEQ,PR01,PCMD
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.774024772625982,,,,,5.159537474829849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8784227519930248,,,,,,,,,,,,,,,,,,,,,,,,,,,4.132717133297791,4.4600636134291864,,,,5.695184167384423,,,,,,,,,,,,,,,,,,,,,,,,,4.065521391936637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3.432572518957692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.008491027560512,,,,,3.8602133844832682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.14102628045829,,,,,,,,,,,,,,,,,,,,,,,,,,,3.50114318370471,4.762645346611187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7563506127239332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3.9819175203659585,,,,,,,,,,,,,,,3.3760983020542468,,,,,,,,,,,,,,,,,,,,,,,,,5.029832328696372,,,,,,4.086740746288897,4.252543093347914,,,,4.029190154599967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.801567840187773,,,,,,,,4.75077231821208,,,,,,,,,,,,,,,,,,,3.4963908602298823,4.945655483804634,,,,4.4050198990155645,,,,,,,4.5433899499841806,,,,,,,,,,,,,,,,,,4.064731632825845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.028075074844671,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.410089573069625,5.468741466433051,,,,4.946470063452621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.97656100473685,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.173305154337884,,,,5.730469135460352,,,,,,,,,,,,,,,,,,,,,,,,,5.338062321568794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4.311167324612626,,,,,,,,,,,,,,,2.92146185611357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.529525590478532,5.019893334910157,,,,4.095950699276843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8673446083078575,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7338183019140825,,,,5.269105379779164,,,,,,,,,,,,,,,,,,,,,,,,,4.441718391707305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5706764398502004,4.1446627564915985,,,,3.765111104503039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.231268896794936,,,,,,,,3.7862826857545224,,,,,,,,,,,,,,,,,,,,5.867499718738754,,,,3.9501286832422577,,,,,,,,,,,,,,,,,,,,,,,,,4.184427975262596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,3.226961645311615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.78752849392916,4.338585973562524,,,,4.182815921696788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4543698630425785,,,,,,,,,,,,,,,,,,,,,,,,,,,3.819655783347569,,,,,4.859074627868454,,,,,,,,,,,,,,,,,,,,,,,,,4.138631382199963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.71448124212439,5.113624287588161,,,,4.366429615634016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.454516954272809,,,,,,,,6.8189052453800825,,,,,,,,,,,,,,,,,,,,5.8590505579249665,,,,5.875225468631518,,,,,,,,,,,,,,,,,,,,,,,,,4.750316303866838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5543379206009016,,,,,4.002538112327449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4725092274559435,,,,,,,,3.4626759015390385,,,,,,,,,,,,,,,,,,,2.970515724778778,3.5718538565386857,,,,3.9345458244995704,,,,,,,,,,,,,,,,,,,,,,,,,3.521320860717748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.802730683138701,,,,,5.231860053797994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.170093839135257,,,,,,,,4.66091099262463,,,,,,,,,,,,,,,,,,,3.8051880118923314,4.217448736937664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.255923473979145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
