SIFT,SNB,STD,B020,ELK,GLK,SHUK,LOC,PRLK,GUL,YACT,NOB,GPW,VOIT,OOW2,IZEE,MJ2,RPW,HUSB,RATT,CTR,B204,HSR,STAR,FRIS,JUN,UMAT,SEND,TIMB,RNO,TDH,MOON,RER,B203,HTW,GHW,TOLT,CMM,WESG,LSON,HOA,HOOD,GSM,RVW,BVW,VFP,IRO,SOS,MDW,SHRK,WRW,TDL,TREE,NNVM,FMW,JCW,OZB,FHE,TBM,RAFT,NN17,OSD,EPH,LO2,MIDE,KOS,EDM,B202,BHAM,HDW,OBSR,RUSH,RPW2,GBB,KWBU,CIHL,NN32,CARB,NEL,B941,WISH,NAC,GRUT,LNO,RSW,VALT,KENT,PR05,RED,OT3,MEW,JRO,STOR,CPCO,CAVE,NORM,VLL,LCW,RCM,CRBN,YOCR,BLIS,HUO,GBL,H2E,BEER,NATH,EPH2,MTM,BRKS,BRAN,KEB,LVP,RCS,PINE,TMBU,REM,SVIC,PANH,RVC,SWFL,SEP,ASBU,MINN,WIW,TOPL,NED,SNI,DONK,TCBU,DAVN,OPCH,LKVW,BERY,B926,WRD,PARA,C06D,TWW,G05D,YEL,B201,VBE,VDEB,WPW,CDF,PIE,F05D,BKC,FL2,PALM,SUG,TRW,HIYU,MULN,CLCV,ETW,CHMT,VTH,SWF2,BLOW,MBW,SAXON,SPN5,OBC,NCO,NN21,SHW,WIFE,BURN,SWNB,NN19,DFAZ,ASR,LON,WA2,BRSP,PR04,WPEQ,GTWY,KAUT,PR01,PR03
4.395772275192935,,,,,,,,,,,,,3.4303809101089184,,,,,,,,,,4.288126004056082,,,,,,,,,4.253297494405476,,,,,,,,,,,,,,,,,,,,,,5.027894476959349,,,,,,,,,,,,,,,,4.4012873999210065,4.785159167603741,,,,,,5.428830392663956,,,,,,,,,,5.668709594773725,,,,,,,,,,,4.8856311010181,6.23578324197884,,,,,,,,,,,,,,5.144157187946226,,,,,4.959008871877802,,,,,,,,,,,,,4.167727251658791,,,,,3.9582663992150153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.99349372447556,,,6.382757451141344,,,,,
5.433877199610421,,,,,,,,,,,,,4.732688107495465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.018504373206407,,,,,,,,,,,,,,,,5.00112857033655,5.062472728298551,,,,,,5.832817140327604,,,,,,,,,,6.400233428476645,,,,,,,,,,,4.594959798122973,,,,,,,,,,,,,,,6.178615158213942,,,,,,,,,,,,,,,,,,5.111670222604204,,,,,4.8305465115969515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.044492396532509,,,6.680331230587538,6.521510316777462,,,,
4.138241350784054,,,,,,,,,,,,,3.861793812910642,,,,,,,,,,5.406423623979944,,,,,,,,,5.0333677407982975,,,,,,,,,,,,,,,,,,,,,,4.533624567975549,,,,,,,,,,,,,,,,4.287660755047803,4.865963613197869,,,,,,,,,,,,,,,,4.617447191953959,,,,,,,,,,,4.193088722170347,,,,,,,,,,,,,,,6.133694496719777,,,,,,,,,,,,,,,,,,,,,,,3.7699783547255046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2846891030974295,,,5.902678527011052,,,,,
4.0234796388707235,,,,,,,,,,,,,,,,,,,,,,,3.8784227519930248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.774024772625982,,,,,,,,,,,,,,,,4.065521391936637,4.3621204195023155,,,,,,,,,,,,,,,,5.695184167384423,,,,,,,,,,,5.159537474829849,,,,,,,,,,,,,,,4.4600636134291864,,,,,,,,,,,,,,,,,,,,,,,4.132717133297791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.418582586712813,,,,,,,,
3.432572518957692,,,,,,,,,,,,,2.919133126591406,,,,,,,,,,4.14102628045829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.008491027560512,,,,,,,,,,,,,,,,3.7563506127239332,3.6272267205674025,,,,,,4.2915994221482325,,,,,,,,,,4.916635602312291,,,,,,,,,,,3.8602133844832682,,,,,,,,,,,,,,,4.762645346611187,,,,,,,,,,,,,,,,,,,,,,,3.50114318370471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.050119146542704,,,,,,,,
3.9819175203659585,,,,,,,,,,,,,3.3760983020542468,,,,,,,,,,3.801567840187773,,,,,,,,,4.75077231821208,,,,,,,,,,,,,,,,,,,,,,4.086740746288897,,,,,,,,,,,,,,,,4.064731632825845,4.252543093347914,,,,,,3.9793042339927074,,,,,,,,,,4.4050198990155645,,,,,,,,,,,4.029190154599967,4.233020669849912,,,,,,,,,,,,,,4.945655483804634,,,,,,,,,,,,,,,,,,4.5433899499841806,,,,,3.4963908602298823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.029832328696372,,,5.028075074844671,,,,,
,,,,,,,,,,,,,,,,,,,,,,,4.97656100473685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.410089573069625,,,,,,,,,,,,,,,,5.338062321568794,5.468741466433051,,,,,,,,,,,,,,,,5.730469135460352,,,,,,,,,,,4.946470063452621,,,,,,,,,,,,,,,6.173305154337884,,,,,,,,,,,,,,,,,,5.479731433358534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1903666402802235,,,6.448272151859505,,7.575438658245315,,,
4.311167324612626,,,,,,,,,,,,,2.92146185611357,,,,,,,,,,4.8673446083078575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.529525590478532,,,,,,,,,,,,,,,,4.441718391707305,5.019893334910157,,,,,,,,,,,,,,,,5.269105379779164,,,,,,,,,,,4.095950699276843,,,,,,,,,,,,,,,5.7338183019140825,,,,,,,,,,,,,,,,,,,,,,,4.504681831957916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6101184093190914,,7.554726373243861,,,
3.8441131350588518,,,,,,,,,,,,,3.0604131041027434,,,,,,,,,,4.231268896794936,,,,,,,,,3.7862826857545224,,,,,,,,,,,,,,,,,,,,,,4.5706764398502004,,,,,,,,,,,,,,,,4.184427975262596,4.1446627564915985,,,,,,,,,,,,,,,,3.9501286832422577,,,,,,,,,,,3.765111104503039,,,,,,,,,,,,,,,5.867499718738754,,,,,,,,,,,,,,,,,,,,,,,3.408247470398797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.168824404375857,,,,,,,,,,,,,3.226961645311615,,,,,,,,,,4.4543698630425785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.78752849392916,,,,,,,,,,,,,,,,4.138631382199963,4.338585973562524,,,,,,4.119964617172906,,,,,,,,,,4.859074627868454,,,,,,,,,,,4.182815921696788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2729387519208855,,,,,3.819655783347569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.308309414056171,,,,,
