event_ID,location_latitude,location_longitude,location_uncertainty(m),origin_time,direction(degrees),direction_sharpness(degrees),direction_snr(degrees),duration(sec),params_std_deviation,velocity(m/s),number_of_stations,Label
1962558,46.85807678558722,-121.78099885976984,33000,2014-12-04T01:58:40.774996Z,121.44329864402876,121.37540050223112,124.50053302827794,23.299992,"0.299029938,0.370344608,0.164391076",121.2676149166152,4,
1961543,46.21519852654039,-122.18162182719628,15000,2014-12-03T21:06:50.900022Z,63.86328357081735,50.56704585937789,52.74835241227039,8.572266222222229,"0.319952095,0.372348746,0.250525104",202.93690495330372,9,
1976548,46.862540685414565,-121.75606923162236,35000,2014-12-18T03:43:14.000005Z,74.78507566374309,72.2877586364939,83.3106010883728,10.816676666666666,"0.329386363,1.768017053,0.257857302",57.58099200231203,6,
1975448,46.86793009234513,-121.75080606497838,41000,2014-12-16T23:05:08.450000Z,12.454078853566996,20.18875352380039,8.31605617816657,25.78333333333333,"0.142897618,0.499196798,0.090923301",55.55348847171103,6,
1959053,46.2233018821178,-122.18938391306564,38000,2014-12-02T10:38:05.475000Z,97.07059974358664,95.6169809611908,102.65355720693071,20.126923076923067,"0.282657159,0.272170897,0.183981859",202.84374075035169,13,
1959243,46.19091891778302,-122.19462030258263,10000,2014-12-02T06:56:25.000000Z,52.317615764240045,45.31124451431531,53.73392177726039,4.9214285714285735,"0.209248114,0.976998651,0.166295544",58.27228996460416,7,
1956543,46.85621980967061,-121.74035320369303,24000,2014-12-01T03:26:36.000004Z,26.81157224989549,43.25856844347084,276.35466617968183,19.820008,"0.574123668,12.525189007,0.488770701",12.515449472813785,5,
1954668,46.21071942836388,-122.20625142583648,22000,2014-11-28T09:38:34.350330Z,75.04378059657152,81.31713044067274,76.61717029587726,39.23065999999999,"0.263563219,0.450421393,0.202275214",165.70591768195683,10,
1954653,46.855336595896944,-121.7508465165048,29000,2014-11-27T12:33:11.001122Z,187.89851442028225,189.15425312577875,188.61735331179443,5.11474399999998,"0.192159241,0.680818205,0.121948597",69.51739024386312,4,
1954443,46.85354723613325,-121.7574084833647,38000,2014-11-26T20:06:43.675036Z,56.48853912066805,57.47773419339463,70.95448274810934,27.410071999999985,"0.32084076,0.878881156,0.213132462",85.17647576612556,5,
1953243,46.858029195904365,-121.74690380924636,31000,2014-11-26T17:19:23.000036Z,6.225579393169205,-7.615836746921818,36.52327084623475,14.650071999999994,"0.225207602,1.759517395,0.145681939",27.97869973738135,7,
1951848,46.85348333004504,-121.71807138090612,34000,2014-11-24T21:12:48.000000Z,262.57723044508015,264.7284752484257,261.0669247074537,4.524999999999992,"0.080700809,0.145067084,0.05405722",129.84879413908212,4,
1948143,46.84994717468398,-121.75610844718987,31000,2014-11-22T02:11:46.000000Z,283.68428616540393,502.77329532699423,272.0813102270446,-0.4999999999999953,"0.177468395,5.894517344,0.109273255",8.086301699697067,6,
1947268,46.85894445526397,-121.75739180799378,45000,2014-11-21T10:00:48.749998Z,302.57989574715924,282.8620165139946,297.7488935430057,6.80713885714286,"0.077899288,0.653857497,0.047416835",24.430011794332103,7,
1929848,46.20980622731297,-122.188110920745,29000,2014-11-07T20:51:00.925000Z,73.40531034090708,85.6971653214138,67.22474922219645,14.79166666666668,"0.249276471,0.269106814,0.177412206",187.07871200724455,12,
1929148,46.19901570377941,-122.19460736928214,11000,2014-11-07T19:33:33.000000Z,50.876722941471286,67.25848568776837,56.61455511633649,5.61428571428572,"0.241035086,0.76517801,0.19642758",99.36549255379038,7,
1946468,46.1972193459441,-122.19849687425368,13000,2014-11-19T08:47:24.000000Z,63.42265950676483,79.9300344878978,60.27782892524412,6.321428571428568,"0.275468711,1.054840466,0.218585321",74.53205907475532,7,
1945388,46.85175749994984,-121.76397001444946,36000,2014-11-18T10:34:34.325253Z,168.8198519654914,-198.37794926796224,-198.2700366490364,31.979077428571447,"0.234737503,0.504792364,0.14204875",79.00622768307218,7,
1941583,46.849916686884434,-121.7364411984991,22000,2014-11-15T20:50:00.000000Z,250.75696198026307,246.59824863812509,248.12811567187129,7.85,"0.08065297,0.28582152,0.055940834",78.23631952400852,5,
1941598,43.72626445548568,-121.29058474226056,12000,2014-11-15T12:31:56.002000Z,224.08089003834863,224.0808900383487,224.0808900383486,4.553999999999995,"inf,inf,inf",60.47037705086446,4,
1924558,46.195394247227824,-122.16870310523656,12000,2014-11-04T22:20:26.851323Z,11.505821460830903,12.20306675057085,10.990127785894236,34.027645999999976,"0.046537197,0.058430373,0.030237404",136.07814892168352,4,
