event_ID,location,location_uncertainty(m),origin_time,direction(degrees),direction_sharpness(degrees)params_std_deviation,velocity(m/s),number_of_stationsdirection_snr(degrees),direction_sharpness(degrees),direction_snr(degrees),duration,number_of_stations,params_std_deviation
['3130368'],"['46.857158352649165,-121.76657664960902']",[4000],"[UTCDateTime(2020, 6, 14, 16, 23, 47, 824000)]",[112.44461502499296],,[46.663890778776185],,[92.4732754381286],[123.4213963090881],[25.947999999999997],[7],"['0.165741523,0.900594295,0.114101885']"
['3130403'],"['46.84818022840977,-121.77971398589368']",[1000],"[UTCDateTime(2020, 6, 14, 10, 30, 41, 99000)]",[185.89310331619012],,[15.430290736126203],,[181.722734400581],[185.2986262773263],[9.972999999999999],[4],"['0.07820767,0.66053722,0.043065904']"
['3130383'],"['46.857158352649165,-121.76657664960902']",[2000],"[UTCDateTime(2020, 6, 14, 4, 12, 28, 849000)]",[45.43736878557058],,[119.94805663791395],,[45.394263382973286],[44.223614942055576],[25.81049999999999],[4],"['0.329773537,0.62552848,0.210863951']"
['3129458'],"['46.84816297896432,-121.76660290551352']",[2000],"[UTCDateTime(2020, 6, 5, 10, 50, 33, 925000)]",[177.84529912250812],,[39.79215441597962],,[176.1991503823316],[182.54346132408392],[20.41250000000001],[4],"['0.113077941,0.407274857,0.05437597']"
['3129328'],"['46.866153712122305,-121.76655038235573']",[2000],"[UTCDateTime(2020, 6, 4, 19, 24, 54, 999999)]",[69.95688274920172],,[88.08718857915837],,[69.62483860311082],[63.124610928898335],[30.349998],[4],"['0.214480736,0.666532999,0.154496407']"
['3129288'],"['46.866114696666216,-121.74031949484284']",[2000],"[UTCDateTime(2020, 6, 4, 9, 38, 12, 999999)]",[187.66223274315183],,[41.728458203408515],,[178.67189392774497],[179.08777884934145],[14.73571228571428],[7],"['0.257800034,1.51202252,0.168891288']"
['3127233'],"['46.857175605795106,-121.77968991796128']",[3000],"[UTCDateTime(2020, 5, 10, 12, 8, 37)]",[182.5670191337634],,[30.09809761972959],,[185.0318077825251],[190.1846131362011],[18.95000000000001],[5],"['0.112057851,0.721626469,0.07010312']"
['3127223'],"['46.8572056112832,-121.8059164780256']",[1000],"[UTCDateTime(2020, 5, 10, 9, 18, 56, 275000)]",[99.5953740952626],,[60.56330605559796],,[102.22443165737977],[101.15650606462263],[33.32500000000002],[4],"['0.162486336,0.543456565,0.111657434']"
['3126843'],"['46.21609584681671,-122.17902820341816']",[1000],"[UTCDateTime(2020, 5, 9, 6, 27, 35, 260000)]",[192.57889971157877],,[458.67003242048065],,[192.57889971157886],[192.57889971157877],[24.1575],[4],"['inf,inf,inf']"
['3126853'],"['46.86613495468696,-121.75343493385125']",[2000],"[UTCDateTime(2020, 5, 9, 3, 42, 58, 193)]",[83.72515268246381],,[32.608456933526675],,[77.01866062714835],[126.77125754319842],[17.970385999999998],[5],"['0.33439994,3.553232005,0.278057965']"
['3128528'],"['46.19811403676282,-122.19201767753954']",[0],"[UTCDateTime(2020, 5, 27, 2, 39, 11)]",[230.51265359100069],,[15.207306921413599],,[243.31807836574512],[268.6743603679994],[7.9687500000000036],[8],"['0.249800025,4.347162671,0.186045404']"
['3125953'],"['46.866114696666216,-121.74031949484284']",[3000],"[UTCDateTime(2020, 5, 5, 11, 34, 4)]",[111.25284115325344],,[47.69589021851968],,[109.65087303876929],[110.30389160320976],[10.041666666666671],[6],"['0.109932624,0.48530369,0.073233361']"
